"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/12/20","06:18","-2.144","-","-0.93"
"2021/12/20","06:24","-2.209","-","-1.03"
"2021/12/20","06:30","-2.269","-","-1.05"
"2021/12/20","06:36","-2.325","-","-1.09"
"2021/12/20","06:42","-2.377","-","-1.16"
"2021/12/20","06:48","-2.424","-","-1.17"
"2021/12/20","06:54","-2.466","-","-1.2"
"2021/12/20","07:00","-2.503","-","-1.22"
"2021/12/20","07:06","-2.534","-","-1.26"
"2021/12/20","07:12","-2.56","-","-1.24"
"2021/12/20","07:18","-2.58","-","-1.28"
"2021/12/20","07:24","-2.594","-","-1.23"
"2021/12/20","07:30","-2.603","-","-1.27"
"2021/12/20","07:36","-2.606","-","-1.25"
"2021/12/20","07:42","-2.604","-","-1.25"
"2021/12/20","07:48","-2.595","-","-1.16"
"2021/12/20","07:54","-2.581","-","-1.16"
"2021/12/20","08:00","-2.562","-","-1.13"
"2021/12/20","08:06","-2.537","-","-1.09"
"2021/12/20","08:12","-2.507","-","-1.09"
"2021/12/20","08:18","-2.472","-","-1.01"
"2021/12/20","08:24","-2.432","-","-0.96"
"2021/12/20","08:30","-2.387","-","-0.91"
"2021/12/20","08:36","-2.338","-","-0.87"
"2021/12/20","08:42","-2.285","-","-0.77"
"2021/12/20","08:48","-2.227","-","-0.73"
"2021/12/20","08:54","-2.166","-","-0.62"
"2021/12/20","09:00","-2.101","-","-0.57"
"2021/12/20","09:06","-2.032","-","-0.5"
"2021/12/20","09:12","-1.961","-","-0.45"
"2021/12/20","09:18","-1.885","-","-0.39"
"2021/12/20","09:24","-1.807","-","-0.3"
"2021/12/20","09:30","-1.726","-","-0.25"
"2021/12/20","09:36","-1.643","-","-0.19"
"2021/12/20","09:42","-1.556","-","-0.06"
"2021/12/20","09:48","-1.468","-","0.03"
"2021/12/20","09:54","-1.376","-","0.14"
"2021/12/20","10:00","-1.283","-","0.19"
"2021/12/20","10:06","-1.188","-","0.28"
"2021/12/20","10:12","-1.09","-","0.33"
"2021/12/20","10:18","-0.991","-","0.45"
"2021/12/20","10:24","-0.891","-","0.48"
"2021/12/20","10:30","-0.789","-","0.6"
"2021/12/20","10:36","-0.685","-","0.65"
"2021/12/20","10:42","-0.581","-","0.77"
"2021/12/20","10:48","-0.476","-","0.81"
"2021/12/20","10:54","-0.371","-","0.93"
"2021/12/20","11:00","-0.265","-","0.98"
"2021/12/20","11:06","-0.159","-","1.07"
"2021/12/20","11:12","-0.053","-","1.21"
"2021/12/20","11:18","0.052","-","1.29"
"2021/12/20","11:24","0.156","-","1.39"
"2021/12/20","11:30","0.259","-","1.5"
"2021/12/20","11:36","0.361","-","1.61"
"2021/12/20","11:42","0.461","-","1.7"
"2021/12/20","11:48","0.559","-","1.76"
"2021/12/20","11:54","0.655","-","1.8"
"2021/12/20","12:00","0.749","-","1.9"
"2021/12/20","12:06","0.84","-","1.97"
"2021/12/20","12:12","0.928","-","2.07"
"2021/12/20","12:18","1.012","-","2.13"
"2021/12/20","12:24","1.094","-","2.28"
"2021/12/20","12:30","1.171","-","2.34"
"2021/12/20","12:36","1.245","-","2.43"
"2021/12/20","12:42","1.316","-","2.52"
"2021/12/20","12:48","1.382","-","2.61"
"2021/12/20","12:54","1.444","-","2.67"
"2021/12/20","13:00","1.501","-","2.73"
"2021/12/20","13:06","1.554","-","2.79"
"2021/12/20","13:12","1.603","-","2.86"
"2021/12/20","13:18","1.648","-","2.89"
"2021/12/20","13:24","1.687","-","2.93"
"2021/12/20","13:30","1.722","-","2.97"
"2021/12/20","13:36","1.752","-","3.06"
"2021/12/20","13:42","1.778","-","3.08"
"2021/12/20","13:48","1.798","-","3.12"
"2021/12/20","13:54","1.814","-","3.15"
"2021/12/20","14:00","1.825","-","3.13"
"2021/12/20","14:06","1.831","-","3.09"
"2021/12/20","14:12","1.832","-","3.03"
"2021/12/20","14:18","1.828","-","3.03"
"2021/12/20","14:24","1.819","-","3.03"
"2021/12/20","14:30","1.805","-","3"
"2021/12/20","14:36","1.786","-","2.99"
"2021/12/20","14:42","1.762","-","2.94"
"2021/12/20","14:48","1.733","-","2.9"
"2021/12/20","14:54","1.699","-","2.8"
"2021/12/20","15:00","1.66","-","2.77"
"2021/12/20","15:06","1.617","-","2.73"
"2021/12/20","15:12","1.569","-","2.69"
"2021/12/20","15:18","1.517","-","2.65"
"2021/12/20","15:24","1.46","-","2.57"
"2021/12/20","15:30","1.399","-","2.5"
"2021/12/20","15:36","1.333","-","2.4"
"2021/12/20","15:42","1.264","-","2.34"
"2021/12/20","15:48","1.191","-","2.29"
"2021/12/20","15:54","1.114","-","2.23"
"2021/12/20","16:00","1.034","-","2.15"
"2021/12/20","16:06","0.95","-","2.05"
"2021/12/20","16:12","0.864","-","1.95"
"2021/12/20","16:18","0.774","-","1.83"
"2021/12/20","16:24","0.682","-","1.78"
"2021/12/20","16:30","0.587","-","1.72"
"2021/12/20","16:36","0.49","-","1.62"
"2021/12/20","16:42","0.391","-","1.49"
"2021/12/20","16:48","0.29","-","1.4"
"2021/12/20","16:54","0.188","-","1.26"
"2021/12/20","17:00","0.084","-","1.13"
"2021/12/20","17:06","-0.022","-","0.97"
"2021/12/20","17:12","-0.128","-","0.88"
"2021/12/20","17:18","-0.236","-","0.8"
"2021/12/20","17:24","-0.344","-","0.76"
"2021/12/20","17:30","-0.452","-","0.65"
"2021/12/20","17:36","-0.561","-","0.51"
"2021/12/20","17:42","-0.669","-","0.43"
"2021/12/20","17:48","-0.778","-","0.34"
"2021/12/20","17:54","-0.885","-","0.23"
"2021/12/20","18:00","-0.992","-","0.08"
"2021/12/20","18:06","-1.097","-","-0.02"
"2021/12/20","18:12","-1.201","-","-0.15"
"2021/12/20","18:18","-1.304","-","-0.21"
"2021/12/20","18:24","-1.404","-","-0.3"
"2021/12/20","18:30","-1.502","-","-0.37"
"2021/12/20","18:36","-1.597","-","-0.47"
"2021/12/20","18:42","-1.689","-","-0.53"
"2021/12/20","18:48","-1.777","-","-0.6"
"2021/12/20","18:54","-1.862","-","-0.67"
"2021/12/20","19:00","-1.943","-","-0.72"
"2021/12/20","19:06","-2.02","-","-0.79"
"2021/12/20","19:12","-2.093","-","-0.89"
"2021/12/20","19:18","-2.16","-","-0.94"
"2021/12/20","19:24","-2.223","-","-0.97"
"2021/12/20","19:30","-2.281","-","-1.02"
"2021/12/20","19:36","-2.333","-","-1.08"
"2021/12/20","19:42","-2.381","-","-1.11"
"2021/12/20","19:48","-2.423","-","-1.12"
"2021/12/20","19:54","-2.459","-","-1.16"
"2021/12/20","20:00","-2.49","-","-1.16"
"2021/12/20","20:06","-2.515","-","-1.23"
"2021/12/20","20:12","-2.536","-","-1.25"
"2021/12/20","20:18","-2.551","-","-1.27"
"2021/12/20","20:24","-2.56","-","-1.27"
"2021/12/20","20:30","-2.565","-","-1.25"
"2021/12/20","20:36","-2.565","-","-1.28"
"2021/12/20","20:42","-2.56","-","-1.31"
"2021/12/20","20:48","-2.55","-","-1.36"
"2021/12/20","20:54","-2.537","-","-1.34"
"2021/12/20","21:00","-2.518","-","-1.39"
"2021/12/20","21:06","-2.496","-","-1.33"
"2021/12/20","21:12","-2.47","-","-1.31"
"2021/12/20","21:18","-2.441","-","-1.23"
"2021/12/20","21:24","-2.407","-","-1.19"
"2021/12/20","21:30","-2.371","-","-1.13"
"2021/12/20","21:36","-2.331","-","-1.09"
"2021/12/20","21:42","-2.288","-","-1.03"
"2021/12/20","21:48","-2.242","-","-0.97"
"2021/12/20","21:54","-2.193","-","-0.93"
"2021/12/20","22:00","-2.141","-","-0.9"
"2021/12/20","22:06","-2.087","-","-0.85"
"2021/12/20","22:12","-2.03","-","-0.82"
"2021/12/20","22:18","-1.97","-","-0.72"
"2021/12/20","22:24","-1.908","-","-0.63"
"2021/12/20","22:30","-1.844","-","-0.62"
"2021/12/20","22:36","-1.777","-","-0.54"
"2021/12/20","22:42","-1.708","-","-0.44"
"2021/12/20","22:48","-1.637","-","-0.36"
"2021/12/20","22:54","-1.565","-","-0.27"
"2021/12/20","23:00","-1.49","-","-0.21"
"2021/12/20","23:06","-1.414","-","-0.11"
"2021/12/20","23:12","-1.337","-","-0.04"
"2021/12/20","23:18","-1.258","-","0.03"
"2021/12/20","23:24","-1.178","-","0.05"
"2021/12/20","23:30","-1.097","-","0.12"
"2021/12/20","23:36","-1.016","-","0.21"
"2021/12/20","23:42","-0.935","-","0.28"
"2021/12/20","23:48","-0.853","-","0.37"
"2021/12/20","23:54","-0.772","-","0.44"
"2021/12/21","00:00","-0.691","-","0.54"
"2021/12/21","00:06","-0.611","-","0.61"
"2021/12/21","00:12","-0.532","-","0.67"
"2021/12/21","00:18","-0.455","-","0.75"
"2021/12/21","00:24","-0.378","-","0.81"
"2021/12/21","00:30","-0.304","-","0.87"
"2021/12/21","00:36","-0.232","-","0.98"
"2021/12/21","00:42","-0.162","-","0.97"
"2021/12/21","00:48","-0.094","-","1.06"
"2021/12/21","00:54","-0.029","-","1.19"
"2021/12/21","01:00","0.033","-","1.24"
"2021/12/21","01:06","0.092","-","1.29"
"2021/12/21","01:12","0.148","-","1.33"
"2021/12/21","01:18","0.201","-","1.36"
"2021/12/21","01:24","0.25","-","1.4"
"2021/12/21","01:30","0.296","-","1.41"
"2021/12/21","01:36","0.338","-","1.48"
"2021/12/21","01:42","0.376","-","1.46"
"2021/12/21","01:48","0.411","-","1.48"
"2021/12/21","01:54","0.442","-","1.5"
"2021/12/21","02:00","0.468","-","1.54"
"2021/12/21","02:06","0.491","-","1.59"
"2021/12/21","02:12","0.51","-","1.64"
"2021/12/21","02:18","0.524","-","1.69"
"2021/12/21","02:24","0.534","-","1.68"
"2021/12/21","02:30","0.541","-","1.67"
"2021/12/21","02:36","0.542","-","1.63"
"2021/12/21","02:42","0.54","-","1.64"
"2021/12/21","02:48","0.533","-","1.6"
"2021/12/21","02:54","0.522","-","1.59"
"2021/12/21","03:00","0.507","-","1.6"
"2021/12/21","03:06","0.488","-","1.6"
"2021/12/21","03:12","0.464","-","1.59"
"2021/12/21","03:18","0.436","-","1.53"
"2021/12/21","03:24","0.404","-","1.54"
"2021/12/21","03:30","0.368","-","1.52"
"2021/12/21","03:36","0.328","-","1.43"
"2021/12/21","03:42","0.284","-","1.35"
"2021/12/21","03:48","0.237","-","1.29"
"2021/12/21","03:54","0.185","-","1.24"
"2021/12/21","04:00","0.13","-","1.19"
"2021/12/21","04:06","0.072","-","1.07"
"2021/12/21","04:12","0.011","-","0.98"
"2021/12/21","04:18","-0.054","-","0.93"
"2021/12/21","04:24","-0.121","-","0.89"
"2021/12/21","04:30","-0.191","-","0.82"
"2021/12/21","04:36","-0.264","-","0.76"
"2021/12/21","04:42","-0.338","-","0.7"
"2021/12/21","04:48","-0.415","-","0.63"
"2021/12/21","04:54","-0.494","-","0.56"
"2021/12/21","05:00","-0.574","-","0.45"
"2021/12/21","05:06","-0.656","-","0.35"
"2021/12/21","05:12","-0.739","-","0.25"
"2021/12/21","05:18","-0.823","-","0.17"
"2021/12/21","05:24","-0.907","-","0.07"
"2021/12/21","05:30","-0.993","-","-0.05"
"2021/12/21","05:36","-1.079","-","-0.14"
"2021/12/21","05:42","-1.164","-","-0.22"
"2021/12/21","05:48","-1.25","-","-0.3"
"2021/12/21","05:54","-1.336","-","-0.35"
"2021/12/21","06:00","-1.42","-","-0.42"
"2021/12/21","06:06","-1.504","-","-0.52"
"2021/12/21","06:12","-1.587","-","-0.59"
"2021/12/21","06:18","-1.669","-","-0.67"
"2021/12/21","06:24","-1.749","-","-0.77"
"2021/12/21","06:30","-1.827","-","-0.86"
"2021/12/21","06:36","-1.902","-","-0.93"
"2021/12/21","06:42","-1.975","-","-1.04"
"2021/12/21","06:48","-2.046","-","-1.14"
"2021/12/21","06:54","-2.113","-","-1.21"
"2021/12/21","07:00","-2.176","-","-1.25"
"2021/12/21","07:06","-2.236","-","-1.3"
"2021/12/21","07:12","-2.292","-","-1.37"
"2021/12/21","07:18","-2.343","-","-1.41"
"2021/12/21","07:24","-2.39","-","-1.48"
"2021/12/21","07:30","-2.432","-","-1.49"
"2021/12/21","07:36","-2.468","-","-1.53"
"2021/12/21","07:42","-2.5","-","-1.57"
"2021/12/21","07:48","-2.526","-","-1.63"
"2021/12/21","07:54","-2.547","-","-1.61"
"2021/12/21","08:00","-2.561","-","-1.64"
"2021/12/21","08:06","-2.57","-","-1.64"
"2021/12/21","08:12","-2.574","-","-1.64"
"2021/12/21","08:18","-2.571","-","-1.62"
"2021/12/21","08:24","-2.563","-","-1.6"
"2021/12/21","08:30","-2.549","-","-1.57"
"2021/12/21","08:36","-2.53","-","-1.54"
"2021/12/21","08:42","-2.505","-","-1.48"
"2021/12/21","08:48","-2.475","-","-1.48"
"2021/12/21","08:54","-2.44","-","-1.41"
"2021/12/21","09:00","-2.399","-","-1.35"
"2021/12/21","09:06","-2.355","-","-1.32"
"2021/12/21","09:12","-2.306","-","-1.25"
"2021/12/21","09:18","-2.252","-","-1.25"
"2021/12/21","09:24","-2.195","-","-1.18"
"2021/12/21","09:30","-2.134","-","-1.19"
"2021/12/21","09:36","-2.069","-","-1.12"
"2021/12/21","09:42","-2.001","-","-1.13"
"2021/12/21","09:48","-1.93","-","-1.09"
"2021/12/21","09:54","-1.857","-","-1.02"
"2021/12/21","10:00","-1.78","-","-0.97"
"2021/12/21","10:06","-1.701","-","-0.93"
"2021/12/21","10:12","-1.619","-","-0.84"
"2021/12/21","10:18","-1.536","-","-0.72"
"2021/12/21","10:24","-1.45","-","-0.64"
"2021/12/21","10:30","-1.362","-","-0.57"
"2021/12/21","10:36","-1.272","-","-0.49"
"2021/12/21","10:42","-1.181","-","-0.38"
"2021/12/21","10:48","-1.088","-","-0.32"
"2021/12/21","10:54","-0.993","-","-0.2"
"2021/12/21","11:00","-0.897","-","-0.15"
"2021/12/21","11:06","-0.8","-","-0.07"
"2021/12/21","11:12","-0.701","-","0.03"
"2021/12/21","11:18","-0.602","-","0.14"
"2021/12/21","11:24","-0.502","-","0.22"
"2021/12/21","11:30","-0.401","-","0.32"
"2021/12/21","11:36","-0.299","-","0.43"
"2021/12/21","11:42","-0.198","-","0.55"
"2021/12/21","11:48","-0.096","-","0.65"
"2021/12/21","11:54","0.005","-","0.74"
"2021/12/21","12:00","0.106","-","0.84"
"2021/12/21","12:06","0.206","-","0.91"
"2021/12/21","12:12","0.306","-","0.99"
"2021/12/21","12:18","0.404","-","1.02"
"2021/12/21","12:24","0.5","-","1.13"
"2021/12/21","12:30","0.594","-","1.21"
"2021/12/21","12:36","0.687","-","1.28"
"2021/12/21","12:42","0.777","-","1.37"
"2021/12/21","12:48","0.864","-","1.52"
"2021/12/21","12:54","0.949","-","1.62"
"2021/12/21","13:00","1.03","-","1.74"
"2021/12/21","13:06","1.108","-","1.81"
"2021/12/21","13:12","1.182","-","1.84"
"2021/12/21","13:18","1.253","-","1.94"
"2021/12/21","13:24","1.32","-","1.98"
"2021/12/21","13:30","1.382","-","2.02"
"2021/12/21","13:36","1.441","-","2.08"
"2021/12/21","13:42","1.495","-","2.15"
"2021/12/21","13:48","1.544","-","2.17"
"2021/12/21","13:54","1.589","-","2.2"
"2021/12/21","14:00","1.63","-","2.21"
"2021/12/21","14:06","1.666","-","2.26"
"2021/12/21","14:12","1.697","-","2.33"
"2021/12/21","14:18","1.723","-","2.31"
"2021/12/21","14:24","1.744","-","2.35"
"2021/12/21","14:30","1.761","-","2.34"
"2021/12/21","14:36","1.772","-","2.37"
"2021/12/21","14:42","1.779","-","2.34"
"2021/12/21","14:48","1.781","-","2.29"
"2021/12/21","14:54","1.778","-","2.31"
"2021/12/21","15:00","1.77","-","2.27"
"2021/12/21","15:06","1.757","-","2.24"
"2021/12/21","15:12","1.74","-","2.23"
"2021/12/21","15:18","1.717","-","2.23"
"2021/12/21","15:24","1.69","-","2.16"
"2021/12/21","15:30","1.658","-","2.2"
"2021/12/21","15:36","1.621","-","2.12"
"2021/12/21","15:42","1.579","-","2.12"
"2021/12/21","15:48","1.533","-","2.07"
"2021/12/21","15:54","1.483","-","2.01"
"2021/12/21","16:00","1.428","-","1.89"
"2021/12/21","16:06","1.368","-","1.8"
"2021/12/21","16:12","1.305","-","1.71"
"2021/12/21","16:18","1.238","-","1.63"
"2021/12/21","16:24","1.166","-","1.54"
"2021/12/21","16:30","1.092","-","1.5"
"2021/12/21","16:36","1.013","-","1.41"
"2021/12/21","16:42","0.931","-","1.41"
"2021/12/21","16:48","0.846","-","1.26"
"2021/12/21","16:54","0.759","-","1.2"
"2021/12/21","17:00","0.668","-","1.09"
"2021/12/21","17:06","0.575","-","0.99"
"2021/12/21","17:12","0.479","-","0.87"
"2021/12/21","17:18","0.382","-","0.8"
"2021/12/21","17:24","0.283","-","0.68"
"2021/12/21","17:30","0.182","-","0.61"
"2021/12/21","17:36","0.079","-","0.49"
"2021/12/21","17:42","-0.025","-","0.33"
"2021/12/21","17:48","-0.129","-","0.24"
"2021/12/21","17:54","-0.235","-","0.15"
"2021/12/21","18:00","-0.341","-","0.04"
"2021/12/21","18:06","-0.447","-","-0.09"
"2021/12/21","18:12","-0.554","-","-0.19"
"2021/12/21","18:18","-0.66","-","-0.27"
"2021/12/21","18:24","-0.766","-","-0.37"
"2021/12/21","18:30","-0.871","-","-0.47"
"2021/12/21","18:36","-0.976","-","-0.59"
"2021/12/21","18:42","-1.079","-","-0.69"
"2021/12/21","18:48","-1.181","-","-0.74"
"2021/12/21","18:54","-1.28","-","-0.81"
"2021/12/21","19:00","-1.378","-","-0.91"
"2021/12/21","19:06","-1.474","-","-0.99"
"2021/12/21","19:12","-1.567","-","-1.13"
"2021/12/21","19:18","-1.657","-","-1.22"
"2021/12/21","19:24","-1.744","-","-1.28"
"2021/12/21","19:30","-1.827","-","-1.34"
"2021/12/21","19:36","-1.907","-","-1.39"
"2021/12/21","19:42","-1.982","-","-1.48"
"2021/12/21","19:48","-2.053","-","-1.56"
"2021/12/21","19:54","-2.12","-","-1.64"
"2021/12/21","20:00","-2.182","-","-1.73"
"2021/12/21","20:06","-2.239","-","-1.8"
"2021/12/21","20:12","-2.291","-","-1.81"
"2021/12/21","20:18","-2.338","-","-1.87"
"2021/12/21","20:24","-2.38","-","-1.88"
"2021/12/21","20:30","-2.416","-","-1.88"
"2021/12/21","20:36","-2.447","-","-1.87"
"2021/12/21","20:42","-2.472","-","-1.85"
"2021/12/21","20:48","-2.493","-","-1.92"
"2021/12/21","20:54","-2.508","-","-1.94"
"2021/12/21","21:00","-2.517","-","-1.98"
"2021/12/21","21:06","-2.522","-","-2"
"2021/12/21","21:12","-2.522","-","-2.01"
"2021/12/21","21:18","-2.517","-","-1.94"
"2021/12/21","21:24","-2.508","-","-1.88"
"2021/12/21","21:30","-2.494","-","-1.89"
"2021/12/21","21:36","-2.476","-","-1.87"
"2021/12/21","21:42","-2.454","-","-1.85"
"2021/12/21","21:48","-2.429","-","-1.81"
"2021/12/21","21:54","-2.4","-","-1.74"
"2021/12/21","22:00","-2.368","-","-1.67"
"2021/12/21","22:06","-2.332","-","-1.62"
"2021/12/21","22:12","-2.293","-","-1.59"
"2021/12/21","22:18","-2.252","-","-1.5"
"2021/12/21","22:24","-2.208","-","-1.5"
"2021/12/21","22:30","-2.161","-","-1.46"
"2021/12/21","22:36","-2.112","-","-1.44"
"2021/12/21","22:42","-2.061","-","-1.42"
"2021/12/21","22:48","-2.007","-","-1.33"
"2021/12/21","22:54","-1.951","-","-1.26"
"2021/12/21","23:00","-1.893","-","-1.21"
"2021/12/21","23:06","-1.833","-","-1.12"
"2021/12/21","23:12","-1.77","-","-1.02"
"2021/12/21","23:18","-1.706","-","-0.91"
"2021/12/21","23:24","-1.64","-","-0.81"
"2021/12/21","23:30","-1.572","-","-0.72"
"2021/12/21","23:36","-1.503","-","-0.66"
"2021/12/21","23:42","-1.431","-","-0.61"
"2021/12/21","23:48","-1.359","-","-0.5"
"2021/12/21","23:54","-1.285","-","-0.47"
"2021/12/22","00:00","-1.21","-","-0.4"
"2021/12/22","00:06","-1.134","-","-0.32"
"2021/12/22","00:12","-1.057","-","-0.23"
"2021/12/22","00:18","-0.979","-","-0.15"
"2021/12/22","00:24","-0.901","-","-0.04"
"2021/12/22","00:30","-0.823","-","-0.09"
"2021/12/22","00:36","-0.745","-","0.04"
"2021/12/22","00:42","-0.668","-","0.14"
"2021/12/22","00:48","-0.591","-","0.28"
"2021/12/22","00:54","-0.515","-","0.38"
"2021/12/22","01:00","-0.441","-","0.47"
"2021/12/22","01:06","-0.368","-","0.52"
"2021/12/22","01:12","-0.296","-","0.58"
"2021/12/22","01:18","-0.227","-","0.6"
"2021/12/22","01:24","-0.159","-","0.65"
"2021/12/22","01:30","-0.095","-","0.75"
"2021/12/22","01:36","-0.032","-","0.84"
"2021/12/22","01:42","0.027","-","0.87"
"2021/12/22","01:48","0.083","-","0.92"
"2021/12/22","01:54","0.137","-","0.95"
"2021/12/22","02:00","0.187","-","1.03"
"2021/12/22","02:06","0.233","-","1.08"
"2021/12/22","02:12","0.276","-","1.09"
"2021/12/22","02:18","0.315","-","1.12"
"2021/12/22","02:24","0.351","-","1.17"
"2021/12/22","02:30","0.382","-","1.21"
"2021/12/22","02:36","0.41","-","1.23"
"2021/12/22","02:42","0.434","-","1.26"
"2021/12/22","02:48","0.454","-","1.29"
"2021/12/22","02:54","0.47","-","1.32"
"2021/12/22","03:00","0.482","-","1.33"
"2021/12/22","03:06","0.49","-","1.36"
"2021/12/22","03:12","0.494","-","1.33"
"2021/12/22","03:18","0.494","-","1.39"
"2021/12/22","03:24","0.489","-","1.37"
"2021/12/22","03:30","0.481","-","1.34"
"2021/12/22","03:36","0.468","-","1.36"
"2021/12/22","03:42","0.452","-","1.3"
"2021/12/22","03:48","0.431","-","1.25"
"2021/12/22","03:54","0.406","-","1.25"
"2021/12/22","04:00","0.377","-","1.21"
"2021/12/22","04:06","0.344","-","1.17"
"2021/12/22","04:12","0.307","-","1.13"
"2021/12/22","04:18","0.266","-","1.09"
"2021/12/22","04:24","0.222","-","1.05"
"2021/12/22","04:30","0.174","-","0.91"
"2021/12/22","04:36","0.122","-","0.96"
"2021/12/22","04:42","0.067","-","0.85"
"2021/12/22","04:48","0.009","-","0.86"
"2021/12/22","04:54","-0.053","-","0.77"
"2021/12/22","05:00","-0.117","-","0.69"
"2021/12/22","05:06","-0.184","-","0.65"
"2021/12/22","05:12","-0.254","-","0.58"
"2021/12/22","05:18","-0.326","-","0.5"
"2021/12/22","05:24","-0.4","-","0.45"
"2021/12/22","05:30","-0.476","-","0.39"
"2021/12/22","05:36","-0.554","-","0.28"
"2021/12/22","05:42","-0.633","-","0.2"
"2021/12/22","05:48","-0.714","-","0.13"
"2021/12/22","05:54","-0.796","-","0.04"
"2021/12/22","06:00","-0.878","-","-0.03"
"2021/12/22","06:06","-0.961","-","-0.17"
"2021/12/22","06:12","-1.045","-","-0.23"
"2021/12/22","06:18","-1.128","-","-0.34"
"2021/12/22","06:24","-1.212","-","-0.41"
"2021/12/22","06:30","-1.295","-","-0.48"
"2021/12/22","06:36","-1.377","-","-0.56"
"2021/12/22","06:42","-1.459","-","-0.65"
"2021/12/22","06:48","-1.539","-","-0.76"
"2021/12/22","06:54","-1.618","-","-0.8"
"2021/12/22","07:00","-1.696","-","-0.88"
"2021/12/22","07:06","-1.771","-","-0.9"
"2021/12/22","07:12","-1.844","-","-0.93"
"2021/12/22","07:18","-1.915","-","-1.01"
"2021/12/22","07:24","-1.984","-","-1.11"
"2021/12/22","07:30","-2.049","-","-1.14"
"2021/12/22","07:36","-2.111","-","-1.19"
"2021/12/22","07:42","-2.169","-","-1.22"
"2021/12/22","07:48","-2.224","-","-1.26"
"2021/12/22","07:54","-2.275","-","-1.3"
"2021/12/22","08:00","-2.321","-","-1.3"
"2021/12/22","08:06","-2.363","-","-1.32"
"2021/12/22","08:12","-2.4","-","-1.3"
"2021/12/22","08:18","-2.431","-","-1.34"
"2021/12/22","08:24","-2.458","-","-1.36"
"2021/12/22","08:30","-2.48","-","-1.35"
"2021/12/22","08:36","-2.496","-","-1.31"
"2021/12/22","08:42","-2.507","-","-1.28"
"2021/12/22","08:48","-2.512","-","-1.24"
"2021/12/22","08:54","-2.511","-","-1.24"
"2021/12/22","09:00","-2.505","-","-1.22"
"2021/12/22","09:06","-2.494","-","-1.18"
"2021/12/22","09:12","-2.477","-","-1.19"
"2021/12/22","09:18","-2.454","-","-1.12"
"2021/12/22","09:24","-2.427","-","-1.09"
"2021/12/22","09:30","-2.394","-","-1.06"
"2021/12/22","09:36","-2.357","-","-1.07"
"2021/12/22","09:42","-2.315","-","-0.99"
