"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/12/20","00:00","-0.163","-","0.76"
"2021/12/20","00:06","-0.093","-","0.8"
"2021/12/20","00:12","-0.026","-","0.85"
"2021/12/20","00:18","0.038","-","0.88"
"2021/12/20","00:24","0.1","-","0.96"
"2021/12/20","00:30","0.158","-","1.02"
"2021/12/20","00:36","0.213","-","1.1"
"2021/12/20","00:42","0.265","-","1.1"
"2021/12/20","00:48","0.313","-","1.21"
"2021/12/20","00:54","0.358","-","1.21"
"2021/12/20","01:00","0.399","-","1.25"
"2021/12/20","01:06","0.436","-","1.26"
"2021/12/20","01:12","0.47","-","1.26"
"2021/12/20","01:18","0.499","-","1.27"
"2021/12/20","01:24","0.525","-","1.34"
"2021/12/20","01:30","0.546","-","1.38"
"2021/12/20","01:36","0.564","-","1.41"
"2021/12/20","01:42","0.577","-","1.39"
"2021/12/20","01:48","0.586","-","1.38"
"2021/12/20","01:54","0.591","-","1.34"
"2021/12/20","02:00","0.591","-","1.38"
"2021/12/20","02:06","0.588","-","1.35"
"2021/12/20","02:12","0.579","-","1.36"
"2021/12/20","02:18","0.567","-","1.39"
"2021/12/20","02:24","0.55","-","1.4"
"2021/12/20","02:30","0.528","-","1.36"
"2021/12/20","02:36","0.503","-","1.29"
"2021/12/20","02:42","0.473","-","1.31"
"2021/12/20","02:48","0.439","-","1.26"
"2021/12/20","02:54","0.401","-","1.24"
"2021/12/20","03:00","0.358","-","1.23"
"2021/12/20","03:06","0.312","-","1.23"
"2021/12/20","03:12","0.262","-","1.16"
"2021/12/20","03:18","0.209","-","1.14"
"2021/12/20","03:24","0.152","-","1.03"
"2021/12/20","03:30","0.091","-","0.97"
"2021/12/20","03:36","0.028","-","0.96"
"2021/12/20","03:42","-0.039","-","0.86"
"2021/12/20","03:48","-0.108","-","0.87"
"2021/12/20","03:54","-0.18","-","0.8"
"2021/12/20","04:00","-0.255","-","0.74"
"2021/12/20","04:06","-0.331","-","0.69"
"2021/12/20","04:12","-0.41","-","0.59"
"2021/12/20","04:18","-0.49","-","0.55"
"2021/12/20","04:24","-0.573","-","0.48"
"2021/12/20","04:30","-0.656","-","0.45"
"2021/12/20","04:36","-0.741","-","0.33"
"2021/12/20","04:42","-0.827","-","0.24"
"2021/12/20","04:48","-0.914","-","0.15"
"2021/12/20","04:54","-1.001","-","0.03"
"2021/12/20","05:00","-1.089","-","-0.03"
"2021/12/20","05:06","-1.176","-","-0.05"
"2021/12/20","05:12","-1.264","-","-0.15"
"2021/12/20","05:18","-1.351","-","-0.21"
"2021/12/20","05:24","-1.438","-","-0.3"
"2021/12/20","05:30","-1.524","-","-0.38"
"2021/12/20","05:36","-1.609","-","-0.45"
"2021/12/20","05:42","-1.692","-","-0.51"
"2021/12/20","05:48","-1.774","-","-0.63"
"2021/12/20","05:54","-1.853","-","-0.69"
"2021/12/20","06:00","-1.93","-","-0.74"
"2021/12/20","06:06","-2.005","-","-0.8"
"2021/12/20","06:12","-2.076","-","-0.91"
